LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott1083042,Mimus thenca
ott349284,Mimodes graysoni
ott571310,Mimus polyglottos
ott1000585,Mimus gilvus
ott817639,Mimus longicaudatus
ott556541,Nesomimus macdonaldi
ott556545,Nesomimus melanotis
ott1083037,Nesomimus trifasciatus
ott1083046,Nesomimus parvulus
ott1000580,Mimus gundlachii
ott259086,Toxostoma bendirei
ott443479,Toxostoma cinereum
ott410208,Toxostoma lecontei
ott1037285,Toxostoma crissale
ott1085996,Toxostoma redivivum
ott259098,Toxostoma curvirostre
ott293380,Toxostoma rufum
ott443496,Toxostoma guttatum
ott1085998,Toxostoma longirostre
ott1085997,Toxostoma ocellatum
ott474281,Margarops fuscus
ott474286,Margarops fuscatus
ott666112,Cinclocerthia ruficauda
ott935117,Cinclocerthia gutturalis
ott658838,Dumetella carolinensis
ott1000577,Ramphocinclus brachyurus
ott1000573,Melanoptila glabrirostris
ott506249,Melanotis hypoleucus
ott1000575,Melanotis caerulescens
ott968664,Buphagus erythrorhynchus
ott981203,Buphagus africanus
ott3598595,Sturnornis albofrontatus
ott496009,Cinclus cinclus
ott968660,Cinclus pallasii
ott606627,Cinclus mexicanus
ott3598841,Cinclus leucocephalus
ott6152109,Cinclus schulzii
ott3598440,Spelaeornis formosus
ott33427,Phainopepla nitens
ott294590,Ptilogonys caudatus
ott843507,Ptilogonys cinereus
ott179330,Phainoptila melanoxantha
ott496029,Bombycilla japonica
ott613881,Bombycilla garrulus
