LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott177171,Gracixalus supercornutus
ott714945,Gracixalus gracilipes
ott723742,Gracixalus jinxiuensis
ott4133646,Gracixalus nonggangensis
ott4133647,Gracixalus waza
ott5820302,Gracixalus lumarius
ott5820303,Gracixalus seesom
ott7070966,Gracixalus jinggangensis
ott7070968,Gracixalus tianlinensis
ott7070969,Gracixalus yunnanensis
ott7666786,Gracixalus guangdongensis
ott116906,Philautus abditus
ott554589,Philautus aurifasciatus
ott283925,Philautus mjobergi
ott3618550,Philautus amoenus
ott908338,Philautus petersi
ott594721,Philautus surdus
ott594728,Philautus acutirostris
ott168558,Philautus bunitus
ott3618553,Philautus kerangae
ott334651,Philautus tectus
ott334655,Philautus refugii
ott334689,Philautus umbra
ott346761,Philautus ingeri
ott389169,Philautus aurantium
ott774983,Philautus acutus
ott418057,Philautus hosii
ott551766,Philautus juliandringi
ott551770,Philautus macroscelis
ott788228,Philautus everetti
ott787783,Philautus davidlabangi
ott965434,Philautus disgregus
ott965424,Philautus worcesteri
ott3618458,Philautus flaviventris
ott3618489,Philautus leitensis
ott3618505,Philautus microdiscus
ott3618509,Philautus schmackeri
ott3618513,Philautus tytthus
ott3618514,Philautus jacobsoni
ott3618515,Philautus pallidipes
ott3618517,Philautus longicrus
ott3618520,Philautus garo
ott3618522,Philautus erythrophthalmus
ott3618526,Philautus dubius
ott3618537,Philautus kempiae
ott3618548,Philautus namdaphaensis
ott3618552,Philautus maosonensis
ott3618566,Philautus surrufus
ott3618570,Philautus gunungensis
ott3618573,Philautus saueri
ott3618575,Philautus cardamonus
ott3618576,Philautus larutensis
ott3618579,Philautus poecilius
ott3618585,Philautus vermiculatus
ott3618593,Philautus cornutus
ott3618605,Philautus cinerascens
ott3618609,Philautus kempii
ott5223495,Philautus kakipanjang
ott6158897,Philautus nephophilus
ott7070974,Philautus amabilis
ott7070975,Philautus polymorphus
ott7070980,Philautus thamyridion
ott7070981,Philautus ventrimaculatus
ott7666798,Philautus nianeae
ott10704,Rhacophorus pardalis
ott10703,Rhacophorus nigropalmatus
ott72617,Rhacophorus monticola
ott140893,Nyctixalus pictus
ott868829,Nyctixalus margaritifer
ott594703,Nyctixalus spinosus
ott546642,Theloderma leporosum
ott613456,Theloderma gordoni
ott899247,Theloderma corticale
ott594756,Theloderma asperum
ott714948,Theloderma bicolor
ott867074,Theloderma rhododiscus
ott170221,Rhacophorus fasciatus
ott175583,Theloderma stellatum
ott4948279,Rhacophorus gadingensis
ott292439,Rhacophorus translineatus
ott613448,Theloderma truongsonense
ott613461,Theloderma nebulosum
ott613453,Theloderma palliatum
ott844896,Rhacophorus catamitus
ott3618466,Theloderma horridum
ott3618468,Theloderma phrynoderma
ott3618470,Theloderma licin
ott3618472,Theloderma nagalandense
ott3618473,Theloderma ryabovi
ott3618612,Theloderma laeve
ott4133642,Beddomixalus bijui
ott4948277,Rhacophorus calcadensis
ott4948278,Rhacophorus baluensis
ott4948286,Rhacophorus poecilonotus
ott4948290,Rhacophorus bimaculatus
ott4948291,Rhacophorus modestus
ott4948300,Rhacophorus margaritifer
ott5820354,Rhacophorus robertingeri
ott5820355,Rhacophorus bengkuluensis (species in Deuterostomia)
ott5820364,Theloderma lateriticum
ott5926255,Theloderma albopunctatum
ott5926257,Theloderma beibengensis
ott5926260,Theloderma vietnamense
ott6158907,Theloderma lacustrinum
ott6158908,Theloderma annae
ott7071021,Rhacophorus spelaeus
ott7071024,Theloderma auratum
ott116912,Liuixalus hainanus
ott116918,Liuixalus ocellatus
ott723750,Liuixalus romeri
ott5820348,Liuixalus calcarius
ott5820349,Liuixalus feii
ott5926249,Liuixalus shiwandashan
ott5926253,Nasutixalus medogensis
ott7070971,Nasutixalus jerdonii
ott7070972,Nasutixalus yingjiangensis
ott175634,Buergeria robusta
ott905914,Buergeria buergeri
ott376754,Buergeria japonica
ott905926,Buergeria oxycephala
ott7070964,Buergeria otai
ott12012,Gephyromantis rivicola
ott272474,Gephyromantis silvanus
ott846782,Gephyromantis webbi
ott29291,Gephyromantis striatus
ott157830,Gephyromantis malagasius
ott155640,Gephyromantis ventrimaculatus
ott160744,Gephyromantis horridus
ott796178,Gephyromantis klemmeri
ott272453,Gephyromantis ambohitra
ott155643,Gephyromantis eiselti
ott1013289,Gephyromantis mafy
ott155645,Gephyromantis thelenae
ott272456,Gephyromantis leucocephalus
ott272461,Gephyromantis decaryi
ott710844,Gephyromantis hintelmannae
ott710846,Gephyromantis verrucosus
ott272464,Gephyromantis blanci
ott314990,Gephyromantis runewsweeki
ott272469,Gephyromantis enki
ott386216,Gephyromantis tahotra
ott494432,Gephyromantis asper
ott687985,Gephyromantis boulengeri
ott83279,Gephyromantis granulatus
ott157833,Gephyromantis cornutus
ott426091,Gephyromantis redimitus
ott324826,Gephyromantis tschenki
ott155649,Gephyromantis schilfi
ott324835,Gephyromantis tandroka
ott272477,Gephyromantis salegy
