LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott3921045,Daviesia costata
ott3921046,Daviesia croniniana
ott3921047,Daviesia squarrosa
ott3921048,Daviesia inflata
ott3921049,Daviesia stricta
ott3921050,Daviesia spinosissima
ott3921051,Daviesia abnormis
ott3921052,Daviesia microphylla
ott3921054,Daviesia purpurascens
ott3921055,Daviesia striata
ott3921056,Daviesia pectinata
ott3921058,Daviesia trigonophylla
ott3921060,Daviesia pubigera
ott3921062,Daviesia grahamii
ott7055800,Daviesia aphylla
ott7055801,Daviesia apiculata
ott7055802,Daviesia argillacea
ott3921057,Daviesia asperula
ott7055804,Daviesia audax
ott7055805,Daviesia bursarioides
ott7055806,Daviesia campephylla
ott7055807,Daviesia crassa
ott7055808,Daviesia cunderdin
ott7055809,Daviesia decipiens
ott340944,Daviesia decurrens
ott7055811,Daviesia devito
ott790279,Daviesia divaricata
ott3921029,Daviesia elongata
ott7055814,Daviesia implexa
ott3921043,Daviesia filipes
ott7055816,Daviesia glossosema
ott7055817,Daviesia grossa
ott3921044,Daviesia hakeoides
ott7055819,Daviesia intricata
ott7055821,Daviesia lineata
ott7055823,Daviesia major
ott7055824,Daviesia microcarpa
ott7055827,Daviesia pleurophylla
ott7055829,Daviesia pteroclada
ott7055830,Daviesia ramosissima
ott7055831,Daviesia retrorsa
ott7055832,Daviesia sarissa
ott7055834,Daviesia scabrella
ott7055835,Daviesia schwarzenegger
ott7055836,Daviesia scoparia
ott7055837,Daviesia sejugata
ott7055838,Daviesia suaveolens
ott7055839,Daviesia subulata
ott7055840,Daviesia tortuosa
ott7055843,Daviesia uncinata
ott7055844,Daviesia villifera
ott233185,Sphaerolobium medium
ott295808,Sphaerolobium minus
ott666132,Sphaerolobium nudiflorum
ott3920904,Sphaerolobium alatum
ott3920905,Sphaerolobium pulchellum
ott3920906,Sphaerolobium pubescens
ott3920907,Sphaerolobium vimineum
ott3920908,Sphaerolobium scabriusculum
ott3920909,Sphaerolobium rostratum
ott3920910,Sphaerolobium macranthum
ott3920912,Sphaerolobium linophyllum
ott3920913,Sphaerolobium acanthos
ott3920914,Sphaerolobium grandiflorum
ott3920915,Sphaerolobium drummondii
