LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott714285,Pinus armandii
ott1086988,Pinus morrisonicola
ott518554,Pinus fenzeliana
ott213980,Pinus wangii
ott237076,Pinus amamiana
ott262951,Pinus dalatensis
ott837867,Pinus pumila
ott837898,Pinus parviflora
ott786785,Pinus albicaulis
ott262953,Pinus strobiformis
ott568626,Pinus lambertiana
ott568650,Pinus monticola
ott837891,Pinus peuce
ott568616,Pinus strobus
ott799605,Pinus flexilis
ott786788,Pinus ayacahuite
ott568623,Pinus krempfii
ott212453,Pinus gerardiana
ott786799,Pinus bungeana
ott534036,Pinus squamata
ott786802,Pinus culminicola
ott225281,Pinus remota
ott786795,Pinus cembroides
ott225275,Pinus monophylla
ott225278,Pinus quadrifolia
ott568629,Pinus edulis
ott263467,Pinus rzedowskii
ott837871,Pinus pinceana
ott837881,Pinus maximartinezii
ott568647,Pinus longaeva
ott1044480,Pinus balfouriana
ott786782,Pinus aristata
ott837873,Pinus nelsonii
ott517943,Picea abies
ott36932,Picea obovata
ott262757,Picea koraiensis
ott340875,Picea jezoensis
ott763084,Picea crassifolia
ott262756,Picea meyeri
ott1091066,Picea torano
ott262762,Picea retroflexa
ott463852,Picea asperata
ott3866648,Picea asperata var. aurantiaca
ott1040417,Picea koyamae
ott363879,Picea mariana
ott771684,Picea omorika
ott771655,Picea rubens
ott1040405,Picea glehnii
ott39085,Picea smithiana
ott248313,Picea pungens
