LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott4121181,Ptyas fusca
ott4121182,Ptyas carinata
ott4121366,Ptyas semicarinatus
ott4121367,Ptyas multicinctus
ott6157321,Ptyas nigromarginata
ott259046,Philothamnus heterodermus
ott569159,Philothamnus angolensis
ott569167,Philothamnus semivariegatus
ott1078519,Philothamnus nitidus
ott1078516,Philothamnus carinatus
ott854566,Philothamnus thomensis
ott854568,Philothamnus girardi
ott680935,Hapsidophrys smaragdinus
ott854571,Hapsidophrys principis
ott1078505,Hapsidophrys lineatus
ott854569,Philothamnus hoplogaster
ott569158,Philothamnus natalensis
ott4121380,Philothamnus irregularis
ott4121381,Philothamnus macrops
ott4121382,Philothamnus hughesi
ott4121383,Philothamnus heterolepidotus
ott4121384,Philothamnus dorsalis
ott4121388,Philothamnus punctatus
ott6157314,Philothamnus ruandae
ott7069541,Philothamnus ornatus
ott7664969,Philothamnus battersbyi
ott7664971,Philothamnus occidentalis
ott7664972,Philothamnus pobeguini
ott335909,Thelotornis capensis
ott4121337,Thelotornis kirtlandii
ott7069563,Thelotornis mossambicanus
ott1038208,Dispholidus typus
ott910425,Thrasops jacksonii
ott4121496,Thrasops flavigularis
ott4121498,Thrasops occidentalis
ott7664998,Thrasops schmidti
ott69221,Lycodon zawi
ott326723,Lycodon aulicus
ott195299,Lycodon capucinus
ott89825,Lycodon laoensis
ott4121609,Lycodon carinatus
ott971219,Lycodon fasciatus
ott971221,Lycodon paucifasciatus
ott545494,Lycodon rufozonatus
ott4121277,Dryocalamus nympha
ott284090,Lycodon semicarinatus
ott971215,Lycodon ruhstrati
ott971220,Lycodon futsingensis
ott4121194,Lycodon butleri
ott4121195,Lycodon tessellatus
ott4121196,Lycodon effraenis
ott4121197,Lycodon fausti
ott4121198,Lycodon solivagus
ott4121199,Lycodon muelleri
ott4121200,Lycodon kundui
ott4121201,Lycodon ferroni
ott4121202,Lycodon stormi
ott4121203,Lycodon jara
ott4121204,Lycodon mackinnoni
ott4121205,Lycodon dumerilii
ott4121206,Lycodon bibonius
ott4121207,Lycodon subcinctus
ott4121208,Lycodon chrysoprateros
ott4121211,Lycodon flavicollis
ott4121212,Lycodon flavomaculatus
ott4121213,Lycodon tiwarii
ott4121214,Lycodon cardamomensis
ott4121215,Lycodon alcalai
ott4121216,Lycodon striatus
ott4121248,Lycodon multizonatus
ott4121294,Lycodon rosozonatus
ott4121295,Lycodon orientalis
ott4121297,Lycodon flavozonatus
ott4121298,Lycodon gammiei
ott4121299,Lycodon septentrionalis
ott4122030,Lycodon albofuscus
ott5223282,Lycodon synaptor
ott5559747,Lycodon liuchengchaoi
ott5856941,Lycodon cavernicolus
ott5856942,Lycodon gongshan
ott6157292,Lycodon davidi
ott6157293,Lycodon ophiophagus
ott6157294,Lycodon zoosvictoriae
ott7069521,Lycodon banksi
ott7069522,Lycodon meridionalis
ott7069523,Lycodon namdongensis
ott7069526,Lycodon sidiki
ott7664955,Lycodon anamallensis
ott7664956,Lycodon gibsonae
ott7664957,Lycodon hypsirhinoides
ott7664958,Lycodon multifasciatus
ott7664959,Lycodon travancoricus
ott82682,Gonyosoma jansenii
ott405616,Gonyosoma oxycephalum
ott335913,Gonyosoma boulengeri
ott536393,Gonyosoma frenatum
ott756624,Gonyosoma prasinum
ott4122209,Gonyosoma margaritatum
ott10062,Oxybelis fulgidus
ott809248,Oxybelis aeneus
ott4121579,Oxybelis brevirostris
ott4121580,Oxybelis wilsoni
ott72346,Drymobius margaritiferus
ott382935,Drymobius rhombifer
ott4121354,Drymobius melanotropis
ott4121355,Drymobius chloroticus
ott564748,Dendrophidion dendrophis
ott683323,Dendrophidion percarinatum
ott4121369,Dendrophidion bivittatus
ott4121370,Dendrophidion brunneum
ott4121371,Dendrophidion boshelli
ott4121372,Dendrophidion paucicarinatum
ott4121373,Dendrophidion vinitor
ott4121374,Dendrophidion nuchale
ott6157270,Dendrophidion atlantica
ott6157271,Dendrophidion crybelum
ott6157272,Dendrophidion prolixum
ott6157273,Dendrophidion rufiterminorum
ott7069513,Dendrophidion graciliverpa
ott7664937,Dendrophidion clarkii
ott959117,Leptophis ahaetulla
ott4121522,Leptophis depressirostris
ott4121523,Leptophis modestus
ott4121525,Leptophis diplotropis
ott4121526,Leptophis cupreus
ott4121527,Leptophis stimsoni
ott4121528,Leptophis nebulosus
ott4121529,Leptophis riveti
ott4121530,Leptophis mexicanus
ott5560383,Leptophis coeruleodorsus
ott6157290,Leptophis haileyi
ott683327,Chironius quadricarinatus
ott707260,Chironius carinatus
ott31052,Sonora occipitalis
ott335914,Sonora semiannulata
ott147533,Sonora mutabilis
ott147539,Sonora michoacanensis
ott147549,Sonora aemula
ott1091215,Sonora straminea
ott161566,Rhinobothryum lentiginosum
ott4121217,Rhinobothryum bovallii
ott212491,Stenorrhina freminvillei
ott7069552,Stenorrhina degenhardtii
ott212493,Sympholis lippiens
ott212497,Pseudoficimia frontalis
ott959122,Ficimia streckeri
ott4121532,Ficimia hardyi
ott4121533,Ficimia olivacea
ott4121534,Ficimia ruspator
ott4121535,Ficimia variegata
ott4121536,Ficimia publia
ott4121537,Ficimia ramirezi
ott959114,Gyalopion canum
ott4121538,Gyalopion quadrangulare
ott564751,Conopsis nasus
ott564754,Conopsis biserialis
ott4122154,Conopsis lineata
ott564749,Mastigodryas melanolomus
ott683311,Palusophis bifossatus
ott809242,Mastigodryas boddaerti
ott4121486,Mastigodryas cliftoni
ott4121488,Mastigodryas bruesi
ott4121489,Mastigodryas heathii
ott4121490,Mastigodryas danieli
ott4121491,Mastigodryas pleii
ott4121492,Mastigodryas dorsalis
ott4121494,Mastigodryas pulchriceps
ott4121495,Mastigodryas amarali
ott6157295,Mastigodryas moratoi
ott7069531,Mastigodryas reticulatus
ott7664963,Mastigodryas alternatus
ott564759,Drymoluber dichrous
ott683309,Drymoluber brazili
ott4121379,Drymoluber apurimacensis
ott57882,Spilotes sulphureus
ott335911,Spilotes pullatus
ott63064,Drymarchon couperi
ott408654,Drymarchon corais
ott4121184,Drymarchon melanurus
ott4121183,Drymarchon caudomaculatus
ott7664943,Drymarchon margaritae
ott109001,Chironius fuscus
ott109006,Chironius bicarinatus
ott109015,Chironius flavolineatus
ott109017,Chironius exoletus
ott683313,Chironius laurenti
ott683325,Chironius multiventris
ott683315,Chironius monticola
ott683317,Chironius grandisquamis
ott683319,Chironius laevicollis
ott683321,Chironius scurrulus
ott109003,Chironius foveatus
ott4121331,Chironius vincenti
ott6157223,Chironius brazili
ott6157224,Chironius diamantina
ott7069505,Chironius challenger
ott7069506,Chironius flavopictus
ott7069507,Chironius leucometapus
ott7069508,Chironius maculoventris
ott7664915,Chironius septentrionalis
ott7664916,Chironius spixii
ott82691,Masticophis taeniatus
ott1032608,Masticophis flagellum
ott4121545,Masticophis schotti
ott4121546,Masticophis bilineatus
ott4121549,Masticophis aurigulus
ott4121550,Masticophis anthonyi
ott4121552,Masticophis mentovarius
ott4121548,Masticophis lateralis
ott7069530,Masticophis barbouri
ott405963,Coluber constrictor
ott4121504,Coluber taylori
ott7664925,Coluber fuliginosus
ott7664928,Coluber slevini
ott913525,Tantilla relicta
ott736373,Tantilla melanocephala
ott4121403,Tantilla armillata
ott4121404,Tantilla yaquia
ott4121405,Tantilla schistosa
ott4121406,Tantilla deppei
ott4121407,Tantilla semicincta
ott4121408,Tantilla shawi
ott4121409,Tantilla vermiformis
ott4121410,Tantilla tritaeniata
ott4121411,Tantilla insulamontana
ott4121412,Tantilla oaxacae
ott4121413,Tantilla taeniata
ott4121414,Tantilla albiceps
ott4121415,Tantilla vulcani
ott4121416,Tantilla cucullata
ott4121417,Tantilla tecta
ott4121418,Tantilla petersi
ott4121420,Tantilla wilcoxi
ott4121421,Tantilla impensa
ott4121422,Tantilla sertula
ott4121423,Tantilla coronata
ott4121424,Tantilla planiceps
ott4121425,Tantilla nigriceps
ott4121426,Tantilla slavensi
ott4121427,Tantilla bocourti
ott4121428,Tantilla oolitica
ott4121429,Tantilla tayrae
ott4121430,Tantilla robusta
ott4121431,Tantilla calamarina
ott4121432,Tantilla jani
ott4121433,Tantilla cascadae
ott4121434,Tantilla ceboruca
ott4121435,Tantilla nigra
ott4121436,Tantilla cuniculator
ott4121438,Tantilla andinista
ott4121439,Tantilla lempira
ott4121440,Tantilla rubra
ott4121441,Tantilla hobartsmithi
ott4121442,Tantilla miyatai
ott4121443,Tantilla coronadoi
ott4121447,Tantilla triseriata
ott4121448,Tantilla supracincta
ott4121450,Tantilla brevicauda
ott4121451,Tantilla striata
ott4121452,Tantilla trilineata
ott4121454,Tantilla moesta
ott4121455,Tantilla hendersoni
ott4121456,Tantilla gracilis
ott4121457,Tantilla briggsi
ott4121458,Tantilla alticola
ott4121459,Tantilla reticulata
ott4121460,Tantilla johnsoni
ott4121461,Tantilla boipiranga
ott4121462,Tantilla flavilineata
ott4121463,Tantilla bairdi
ott4122052,Tantillita brevissima
ott4122053,Tantillita lintoni
ott6157327,Tantilla psittaca
ott6157328,Tantilla ruficeps
ott7069554,Tantilla tjiasmantoi
ott7664990,Tantilla atriceps
ott7664991,Tantilla berguidoi
ott7664992,Tantilla excelsa
ott7664993,Tantilla gottei
ott7664994,Tantilla olympia
ott7664995,Tantilla stenigrammi
ott335526,Salvadora hexalepis
ott604425,Salvadora grahamiae
ott870442,Salvadora mexicana
ott4121332,Salvadora deserticola
ott4121333,Salvadora bairdi
ott4121334,Salvadora lemniscata
ott4121335,Salvadora intermedia
ott7664980,Salvadora gymnorhachis
ott513403,Trimorphodon lambda
ott539302,Trimorphodon biscutatus
ott6157329,Trimorphodon paucimaculatus
ott7664999,Trimorphodon lyrophanes
ott7665000,Trimorphodon quadruplex
ott7665001,Trimorphodon tau
ott7665002,Trimorphodon vilkinsonii
ott695089,Phyllorhynchus decurtatus
